nohup: ignoring input
2021-01-18 21:31:05,001INFO	init dataset...
2021-01-18 21:51:02,227INFO	epcoh:[1][340/782]	loss:0.18849(0.18914)	
2021-01-18 21:51:07,895INFO	epcoh:[1][350/782]	loss:0.17829(0.18899)	
2021-01-18 21:51:13,639INFO	epcoh:[1][360/782]	loss:0.18609(0.18893)	
2021-01-18 21:51:19,657INFO	epcoh:[1][370/782]	loss:0.19723(0.18892)	
2021-01-18 21:51:25,227INFO	epcoh:[1][380/782]	loss:0.19282(0.18928)	
2021-01-18 21:51:32,010INFO	epcoh:[1][390/782]	loss:0.18544(0.18922)	
2021-01-18 21:51:37,540INFO	epcoh:[1][400/782]	loss:0.19615(0.18907)	
2021-01-18 21:51:42,793INFO	epcoh:[1][410/782]	loss:0.17362(0.18897)	
2021-01-18 21:51:48,893INFO	epcoh:[1][420/782]	loss:0.22208(0.18897)	
2021-01-18 21:51:55,105INFO	epcoh:[1][430/782]	loss:0.21609(0.18896)	
2021-01-18 21:52:00,953INFO	epcoh:[1][440/782]	loss:0.17740(0.18896)	
2021-01-18 21:52:05,874INFO	epcoh:[1][450/782]	loss:0.21283(0.18909)	
2021-01-18 21:52:10,618INFO	epcoh:[1][460/782]	loss:0.18375(0.18898)	
2021-01-18 21:52:15,063INFO	epcoh:[1][470/782]	loss:0.16136(0.18873)	
2021-01-18 21:52:19,783INFO	epcoh:[1][480/782]	loss:0.19820(0.18872)	
2021-01-18 21:52:24,581INFO	epcoh:[1][490/782]	loss:0.21959(0.18867)	
2021-01-18 21:52:29,534INFO	epcoh:[1][500/782]	loss:0.19186(0.18877)	
2021-01-18 21:52:34,861INFO	epcoh:[1][510/782]	loss:0.19280(0.18877)	
2021-01-18 21:52:40,094INFO	epcoh:[1][520/782]	loss:0.17116(0.18864)	
2021-01-18 21:52:45,751INFO	epcoh:[1][530/782]	loss:0.18076(0.18874)	
2021-01-18 21:52:51,476INFO	epcoh:[1][540/782]	loss:0.22886(0.18874)	
2021-01-18 21:52:57,468INFO	epcoh:[1][550/782]	loss:0.22467(0.18884)	
2021-01-18 21:53:03,435INFO	epcoh:[1][560/782]	loss:0.18456(0.18895)	
2021-01-18 21:53:09,027INFO	epcoh:[1][570/782]	loss:0.17572(0.18895)	
2021-01-18 21:53:14,748INFO	epcoh:[1][580/782]	loss:0.16427(0.18854)	
2021-01-18 21:53:20,766INFO	epcoh:[1][590/782]	loss:0.18448(0.18849)	
2021-01-18 21:53:26,391INFO	epcoh:[1][600/782]	loss:0.18321(0.18843)	
2021-01-18 21:53:32,194INFO	epcoh:[1][610/782]	loss:0.19595(0.18847)	
2021-01-18 21:53:38,211INFO	epcoh:[1][620/782]	loss:0.19196(0.18843)	
2021-01-18 21:53:44,746INFO	epcoh:[1][630/782]	loss:0.19541(0.18835)	
2021-01-18 21:53:50,315INFO	epcoh:[1][640/782]	loss:0.20773(0.18835)	
2021-01-18 21:53:56,052INFO	epcoh:[1][650/782]	loss:0.17212(0.18813)	
2021-01-18 21:54:01,162INFO	epcoh:[1][660/782]	loss:0.16907(0.18807)	
2021-01-18 21:54:06,540INFO	epcoh:[1][670/782]	loss:0.18616(0.18800)	
2021-01-18 21:54:12,164INFO	epcoh:[1][680/782]	loss:0.16793(0.18805)	
2021-01-18 21:54:18,048INFO	epcoh:[1][690/782]	loss:0.18459(0.18790)	
2021-01-18 21:54:23,855INFO	epcoh:[1][700/782]	loss:0.18421(0.18766)	
2021-01-18 21:54:28,740INFO	epcoh:[1][710/782]	loss:0.16692(0.18772)	
2021-01-18 21:54:33,582INFO	epcoh:[1][720/782]	loss:0.18007(0.18770)	
2021-01-18 21:54:38,107INFO	epcoh:[1][730/782]	loss:0.16264(0.18781)	
2021-01-18 21:54:42,545INFO	epcoh:[1][740/782]	loss:0.18277(0.18779)	
2021-01-18 21:54:47,275INFO	epcoh:[1][750/782]	loss:0.21435(0.18789)	
2021-01-18 21:54:52,085INFO	epcoh:[1][760/782]	loss:0.15376(0.18775)	
2021-01-18 21:54:56,917INFO	epcoh:[1][770/782]	loss:0.19169(0.18792)	
2021-01-18 21:55:02,391INFO	epcoh:[1][780/782]	loss:0.21357(0.18797)	
2021-01-18 22:03:45,292INFO	epcoh:[2][0/782]	loss:0.22174(0.22174)	
2021-01-18 22:03:50,308INFO	epcoh:[2][10/782]	loss:0.17000(0.18550)	
2021-01-18 22:03:55,950INFO	epcoh:[2][20/782]	loss:0.17652(0.18238)	
2021-01-18 22:04:01,432INFO	epcoh:[2][30/782]	loss:0.18475(0.18183)	
2021-01-18 22:04:07,385INFO	epcoh:[2][40/782]	loss:0.16971(0.18044)	
2021-01-18 22:04:13,138INFO	epcoh:[2][50/782]	loss:0.19502(0.18018)	
2021-01-18 22:04:18,605INFO	epcoh:[2][60/782]	loss:0.16484(0.18080)	
2021-01-18 22:04:24,425INFO	epcoh:[2][70/782]	loss:0.20762(0.18142)	
2021-01-18 22:04:29,852INFO	epcoh:[2][80/782]	loss:0.17139(0.18084)	
2021-01-18 22:04:35,666INFO	epcoh:[2][90/782]	loss:0.17935(0.18078)	
